color,make,model,model_variant,cityPurple,Mercedes-Benz,S 500,S 500,Zuzwil
Silver,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
White,Maserati,SPYDER GT,Spyder GT,Zuzwil
White,Porsche,911,911 Turbo,Zuzwil
Gray,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Gray,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,BMW,323,323i Sport Edition,Zuzwil
Black,Audi,R8,R8 Coupé 4.2,Zuzwil
Black,Mercedes-Benz,450,SLC,Zuzwil
Black,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Black,Porsche,911,911 Turbo,Zuzwil
Black,Mercedes-Benz,SLS 63,SLS 63 AMG,Zuzwil
Black,Mercedes-Benz,S 63 AMG,S 63 AMG,Zuzwil
Black,Lamborghini,DIABLO,Diablo 5.7,Zuzwil
Silver,Datsun,null,SPORTS 2000,Zuzwil
Black,Mercedes-Benz,CLS 500,CLS 500,Zuzwil
Black,VW,TOURAN,Touran 1.4 TSI Trend,Zuzwil
Silver,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Silver,Lamborghini,GALLARDO,Gallardo 5.0 V10 Coupé SE,Zuzwil
Gray,Porsche,911,911 Turbo,Zuzwil
Beige,Mercedes-Benz,S 65 AMG,S 65 L / BRABUS T65 S,Zuzwil
Green,Renault,Alpine A110,null,Zuzwil
Black,Ford,CAPRI,RS 2600,Zuzwil
Black,BMW,X5,X5 4.6is,Zuzwil
Black,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,BMW,750,750i,Zuzwil
White,Ferrari,456,456M GT,Zuzwil
Gray,VW,PHAETON,Phaeton 4.2 V8 4Motion,Zuzwil
Silver,Lamborghini,MURCIÉLAGO,Murciélago LP670-4 SV Cpé,Zuzwil
Gray,BMW,M3,M3,Zuzwil
Black,BMW,525,525xi,Zuzwil
Black,BMW,525,525i,Zuzwil
Black,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Purple,Mercedes-Benz,E 50 AMG,E 50 AMG Avantgarde,Zuzwil
Yellow,Maserati,3200 GT,3200 GT,Zuzwil
Green,Lancia,null,Rally 037 stradale,Zuzwil
Black,Mercedes-Benz,SL 65 AMG,SL 65 AMG,Zuzwil
Silver,Mercedes-Benz,E 50 AMG,E 50 AMG Avantgarde,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
Red,Porsche,BOXSTER,Boxster 2.5,Zuzwil
Black,Alpina,5 SERIES,B10 4.6 S.Tronic,Zuzwil
Blue,Ford,CAPRI,RS 2600,Zuzwil
Silver,Alpina,7 SERIES,B7 Turbo Limousine,Zuzwil
Silver,Bentley,TURBO,null,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Black,Hyundai,COUPÉ,Coupé 2.7 24V FX,Zuzwil
Silver,Mercedes-Benz,CLS 350,CLS 350 CGI,Zuzwil
Silver,Renault,Alpine A110,1300S,Zuzwil
Yellow,Porsche,911,Targa,Zuzwil
Black,Audi,R8,R8 Spyder 5.2,Zuzwil
Black,McLaren,12C,MP4-12C 3.8 V8,Zuzwil
Silver,Mercedes-Benz,S 600,S 600 L,Zuzwil
Other,Mercedes-Benz,S 320,S 320,Zuzwil
Other,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Other,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Black,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Black,Audi,S5,S5 Coupé 4.2 FSI quattro,Zuzwil
Black,Mercedes-Benz,null,CLK DTM AMG Cabriolet,Zuzwil
Gray,Aston Martin,DB9,DB9 Volante,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Blue,Mercedes-Benz,SL 600,SL 600,Zuzwil
Blue,Mercedes-Benz,C 230,C 230 Elégance,Zuzwil
Red,Audi,RS6,RS6 Avant 5.0 V10 quattro 730PS,Zuzwil
Black,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Blue,Honda,LEGEND,Legend V6 3.5i,Zuzwil
Blue,Ford,MUSTANG,5.0 GT Premium 50 Years,Zuzwil
Gray,MG,MGC,GT,Zuzwil
Red,Aston Martin,DB9,DB9 Volante,Zuzwil
Red,Mercedes-Benz,E 420,E 420 Avantgarde,Zuzwil
