ID,MakeText,ModelText,ModelTypeText,TypeName,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText1076.0,Mercedes-Benz,S 500,S 500,S 500,Purple,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,"Ab MFK",5,Automat
175.0,Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Blue,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,8,2002,Benzin,450,schwarz,39300,"Ab MFK",5,Automat
182.0,Ferrari,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,Blue,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,8,1999,Benzin,400,schwarz,20700,"Ab MFK",2,Automatik-Getriebe
184.0,Mercedes-Benz,SLR,SLR McLaren Roadster,McLaren Roadster,Blue,Cabriolet,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,2008,Benzin,626,schwarz,2400,"Ab MFK",2,Automatik-Getriebe
251.0,Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,Gray,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,400,beige,46050,"Ab MFK",5,Automatisiertes Schaltgetriebe
842.0,Mercedes-Benz,C 280,C 280 Elégance,C 280 Elégance,Silver,Kombi,2799,Zuzwil,245 g/km,Occasion,G,10.2 l/100km,5,Hinterradantrieb,6,1997,Benzin,197,schwarz,62500,"Ab MFK",5,Automat
904.0,Renault,ALPINE,Alpine A310 V6,Alpine A310 V6,Silver,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,grau,139200,"Ab MFK",4,Schaltgetriebe manuell
425.0,Mercedes-Benz,S 600,S 600,S 600,Green,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,394,schwarz,99500,"Ab MFK",4,Automat
67.0,Porsche,924,924 Turbo,Turbo,Blue,Coupé,1984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1981,Benzin,170,mehrfarbig,114000,"Ab MFK",4,Schaltgetriebe manuell
709.0,Bentley,CONTINENTAL,Continental GT 6.0,Continental GT 6.0,Black,Coupé,5998,Zuzwil,396 g/km,Occasion,G,16.6 l/100km,2,Allrad,5,2005,Benzin,560,grau,142000,"Ab MFK",4,Automat sequentiell
810.0,Jaguar,XK,XKR 5.0 V8 SC,XKR 5.0 V8 SC,Black,Cabriolet,5000,Zuzwil,292 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,3,2009,Benzin,510,schwarz,49500,"Ab MFK",4,Automat sequentiell
844.0,Audi,S8,S8 4.2 quattro,S8 4.2 quattro,Silver,Limousine,4172,Zuzwil,343 g/km,Occasion,null,14.3 l/100km,4,Allrad,1,1998,Benzin,340,schwarz,57000,"Ab MFK",5,Automatik-Getriebe
875.0,BMW,X1,X1 xDrive 25d Sport Line,X1 xDrive 25d Sport Line,Silver,SUV / Geländewagen,1995,Zuzwil,145 g/km,Occasion,C,5.5 l/100km,5,Allrad,9,2012,Diesel,218,rot,39200,"Ab MFK",5,Automat sequentiell
187.0,Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Blue,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,7,2008,Benzin,700,schwarz,46000,"Ab MFK",5,Automat sequentiell
932.0,Fiat,STILO,Stilo 1.8 16V Swiss,Stilo 1.8 16V Swiss,Silver,Limousine,1747,Zuzwil,190 g/km,Occasion,G,8.0 l/100km,3,Vorderradantrieb,8,2006,Benzin,133,anthrazit,28800,"Ab MFK",5,Schaltgetriebe manuell
933.0,Lancia,null,Monte Carlo 137 AS,Monte Carlo 137 AS,Silver,Limousine,1994,Zuzwil,null,Occasion,null,null,2,Vorderradantrieb,7,1978,Benzin,0,braun,57000,"Ab MFK",2,Schaltgetriebe
935.0,Mercedes-Benz,E 320,E 320 Elégance,E 320 Elégance,Silver,Limousine,3199,Zuzwil,null,Occasion,null,11.9 l/100km,4,Hinterradantrieb,12,1996,Benzin,220,beige,56100,"Ab MFK",5,Automat
936.0,Porsche,CAYENNE,Cayenne S,Cayenne S,Silver,SUV / Geländewagen,4806,Zuzwil,358 g/km,Neu,null,14.9 l/100km,5,Allrad,9,2009,Benzin,385,schwarz,1,"Ab MFK",5,Automatik-Getriebe
1028.0,Audi,S7,S7 Sportback 4.0 TFSI V8 quattro,S7 Sportback 4.0 TFSI V8 quattro,Silver,Limousine,3993,Zuzwil,225 g/km,Occasion,G,9.6 l/100km,5,Allrad,3,2014,Benzin,420,schwarz,3600,"Ab MFK", "Direkt-/Parallelimport",4,Automatisiertes Schaltgetriebe
530.0,Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Murciélago LP640-4 Cpé,Black,Coupé,6496,Porrentruy,495 g/km,Occasion,G,21.3 l/100km,2,Allrad,4,2011,Benzin,641,schwarz,7890,"Ab MFK",2,Schaltgetriebe manuell
627.0,Porsche,911,911 Targa,911 Targa,Black,Cabriolet,3600,Zuzwil,303 g/km,Occasion,null,12.8 l/100km,2,Hinterradantrieb,5,1997,Benzin,285,blau,74000,"Ab MFK",4,Schaltgetriebe manuell
926.0,Mercedes-Benz,SL 500,SL 500 6.0 AMG,6.0 AMG,Silver,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,blau,98000,"Ab MFK",4,Automatik-Getriebe
965.0,BMW,M5,M5,M5,Silver,Limousine,4395,Zuzwil,232 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,3,2012,Benzin,560,beige,19000,"Ab MFK",5,Automatisiertes Schaltgetriebe
974.0,Bentley,ARNAGE,Arnage T,Arnage T,Silver,Limousine,6761,Zuzwil,null,Occasion,G,null,4,Hinterradantrieb,12,2003,Benzin,457,schwarz,57000,"Ab MFK",5,Automat
991.0,Mercedes-Benz,SL 55 AMG,SL 55 AMG,SL 55 AMG,Silver,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,3,2002,Benzin,476,anthrazit,48200,"Ab MFK",2,Automat
1027.0,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,Silver,Coupé,5439,Zuzwil,281 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,6,2000,Benzin,347,schwarz,79500,"Ab MFK",4,Automat
512.0,Mercedes-Benz,S 600,S 600,S 600,Black,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1995,Benzin,394,braun,62000,"Ab MFK",4,Automat
